id,facility_name,country,country_code,text_content,specialties,has_icu,has_emergency,source_url,latitude,longitude
BF_malika,Malika,null,BF,Malika hospital BF,null,true,true,https://www.openstreetmap.org/node/4528456927,13.570868,-2.4107923
BF_csps_de_tibou,CSPS de Tibou,null,BF,CSPS de Tibou hospital BF,null,true,true,https://www.openstreetmap.org/node/4553065122,14.0926392,-2.16583
RW_masaka_hospital,Masaka Hospital,null,RW,Masaka Hospital hospital RW,null,true,true,https://www.openstreetmap.org/node/8825950259,-1.9917437,30.2119493
RW_ruharambuga_kamonyi_healthcenter,RUHARAMBUGA-KAMONYI HEALTHCENTER,null,RW,RUHARAMBUGA-KAMONYI HEALTHCENTER hospital RW,null,true,true,https://www.openstreetmap.org/node/10026853179,-2.4465668,29.0255285
ET_healthcare_facility_4804024549,Healthcare Facility 4804024549,null,ET,Healthcare Facility 4804024549 hospital ET,null,true,true,https://www.openstreetmap.org/node/4804024549,7.5962094,38.0686504
SL_nafaya_clinic,Nafaya Clinic,null,SL,Nafaya Clinic hospital SL,null,true,true,https://www.openstreetmap.org/node/1795617000,7.9435307,-11.7319946
LR_14th_military_hospital,14th Military Hospital,null,LR,14th Military Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7694996699,6.2165857,-10.5653716
LR_kolahun_hospital,Kolahun Hospital,null,LR,Kolahun Hospital hospital LR,null,true,true,https://www.openstreetmap.org/node/7707277088,8.2942141,-10.0838497
NE_healthcare_facility_7035978852,Healthcare Facility 7035978852,null,NE,Healthcare Facility 7035978852 hospital NE,null,true,true,https://www.openstreetmap.org/node/7035978852,17.0585193,8.094541
NE_chr,CHR,null,NE,CHR hospital NE,null,true,true,https://www.openstreetmap.org/node/7694827547,14.8951782,5.2686933
ML_cpam,CPAM,null,ML,CPAM hospital ML,null,true,true,https://www.openstreetmap.org/node/3240033910,12.3723813,-5.4763877
BF_csps_de_koanga,CSPS de Koanga,null,BF,CSPS de Koanga hospital BF,null,true,true,https://www.openstreetmap.org/node/6450529943,12.2804187,-1.9977146
RW_healthcare_facility_1398644470,Healthcare Facility 1398644470,null,RW,Healthcare Facility 1398644470 hospital RW,null,true,true,https://www.openstreetmap.org/node/1398644470,-1.548276,30.2460333
